"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"936","1","0","161.05","(1,0)","2","2","154.07","(2,2)"
"937","2","0","158.4","(2,0)","2","0","150.75","(2,0)"
"938","1","0","154.67","(1,0)","2","2","147.66","(2,2)"
"939","1","1","141.36","(1,1)","1","1","133.71","(1,1)"
"940","1","2","141.29","(1,2)","1","2","131.72","(1,2)"
"941","1","0","151.24","(1,0)","1","1","143.89","(1,1)"
"942","2","0","143.4","(2,0)","2","0","135.75","(2,0)"
"943","2","0","154.98","(2,0)","2","0","147.33","(2,0)"
"944","0","2","121.69","(0,2)","0","2","114.04","(0,2)"
"945","1","0","157.24","(1,0)","2","0","151.11","(2,0)"
"946","0","0","146.7","(0,0)","0","0","142.88","(0,0)"
"947","2","0","154.64","(2,0)","2","0","146.99","(2,0)"
"948","1","1","164.85","(1,1)","1","1","157.2","(1,1)"
"949","1","2","153.81","(1,2)","1","2","144.25","(1,2)"
"950","1","2","168.58","(1,2)","1","2","159.02","(1,2)"
"951","2","0","163.2","(2,0)","2","0","155.55","(2,0)"
"952","2","0","153.38","(2,0)","2","0","145.73","(2,0)"
"953","1","0","147.74","(1,0)","1","0","142.01","(1,0)"
"954","2","0","161.29","(2,0)","2","2","152.5","(2,2)"
"955","1","1","155.35","(1,1)","2","2","147.69","(2,2)"
"956","2","0","152.67","(2,0)","2","0","145.02","(2,0)"
"957","1","0","144.26","(1,0)","1","1","138.17","(1,1)"
"958","1","0","139.91","(1,0)","2","2","133.77","(2,2)"
"959","1","2","146.35","(1,2)","1","2","136.79","(1,2)"
"960","1","1","166.35","(1,1)","2","2","155.24","(2,2)"
"961","2","0","165.05","(2,0)","1","2","156.78","(1,2)"
"962","2","2","151.56","(2,2)","2","2","140.09","(2,2)"
"963","2","0","149.93","(2,0)","2","0","142.28","(2,0)"
"964","1","0","150.66","(1,0)","1","1","143.39","(1,1)"
"965","1","0","153.34","(1,0)","2","2","144.63","(2,2)"
"966","2","0","153.88","(2,0)","2","0","146.23","(2,0)"
"967","1","0","161.03","(1,0)","2","2","153.92","(2,2)"
"968","1","1","161.34","(1,1)","1","1","153.69","(1,1)"
"969","2","0","144.41","(2,0)","2","0","136.76","(2,0)"
"970","1","0","155.28","(1,0)","1","1","147.95","(1,1)"
"971","1","1","139.01","(1,1)","1","1","131.36","(1,1)"
"972","0","0","123.29","(0,0)","0","2","118.04","(0,2)"
"973","1","0","144.94","(1,0)","1","0","139.21","(1,0)"
"974","1","2","140.39","(1,2)","2","2","130.15","(2,2)"
"975","1","1","167.71","(1,1)","1","1","160.07","(1,1)"
"976","1","1","171.31","(1,1)","1","1","163.66","(1,1)"
"977","1","0","139.43","(1,0)","2","1","131.42","(2,1)"
"978","2","2","144.77","(2,2)","2","2","133.3","(2,2)"
"979","2","0","158.76","(2,0)","2","0","151.11","(2,0)"
"980","1","1","159.34","(1,1)","1","1","151.69","(1,1)"
"981","0","0","145.55","(0,0)","0","0","141.73","(0,0)"
"982","2","0","150.56","(2,0)","2","0","142.91","(2,0)"
"983","0","2","153.8","(0,2)","0","2","146.15","(0,2)"
"984","2","0","162.37","(2,0)","2","0","154.72","(2,0)"
"985","1","0","132.26","(1,0)","1","0","126.52","(1,0)"
"986","2","0","159.94","(2,0)","2","1","150.82","(2,1)"
"987","1","1","166.56","(1,1)","1","1","158.92","(1,1)"
"988","1","0","145.49","(1,0)","1","0","139.76","(1,0)"
"989","1","0","154.88","(1,0)","2","0","148","(2,0)"
"990","0","0","140.36","(0,0)","0","0","136.54","(0,0)"
"991","2","0","149.92","(2,0)","2","0","142.27","(2,0)"
"992","2","0","169.88","(2,0)","2","0","162.23","(2,0)"
"993","1","1","161.89","(1,1)","1","1","154.24","(1,1)"
"994","2","2","155.38","(2,2)","2","2","143.9","(2,2)"
"995","1","1","160.51","(1,1)","1","2","151.18","(1,2)"
"996","1","1","143.49","(1,1)","1","1","135.85","(1,1)"
"997","1","1","166.5","(1,1)","1","1","158.86","(1,1)"
"998","1","0","152.9","(1,0)","1","1","146.22","(1,1)"
"999","1","1","166.84","(1,1)","1","1","159.2","(1,1)"
"1000","1","0","149.5","(1,0)","2","2","140.83","(2,2)"
