"A" "B" "AMPL" "VAR" "VAR acu"
"67" -0.0528031853922848 -0.0161286278903154 0.0552114935968613 0.00672499651109165 95.757420115214
"68" 0.274890904579769 -0.295469480620273 0.403568114943063 0.359307898272193 96.1167280134862
"69" 0.0773628638856156 0.0357584998212626 0.0852272434028669 0.016024701744577 96.1327527152308
"70" -0.0549067252801998 -0.00367831099614144 0.0550297960452305 0.0066808062638092 96.1394335214946
"71" 0.0216210974807576 -0.102923929127122 0.105170371508507 0.0244016889891405 96.1638352104837
"72" -0.0227907426030849 -0.143976955396782 0.145769618349391 0.0468777873800257 96.2107129978638
"73" -0.0523477791345626 0.0760204703566189 0.0923006061386518 0.0187949934003515 96.2295079912641
"74" -0.0648480702154723 0.090052716642214 0.110971906288545 0.0271680935730654 96.2566760848372
"75" -0.0569205015500304 0.146005601695559 0.15670858056657 0.0541774581355547 96.3108535429727
"76" -0.0820508802114012 0.0786762423538903 0.11367628624473 0.0285083987918481 96.3393619417646
"77" -0.00374781760709315 0.0556430938359819 0.0557691673638393 0.00686153672979944 96.3462234784944
"78" 0.0467630178325544 -0.141162364159097 0.148706398288013 0.0487856820997457 96.3950091605941
"79" -0.0344306367572301 -0.0781272377246855 0.0853775967218441 0.0160812914507449 96.4110904520449
"80" -0.0586264045500561 0.141217058731899 0.152902952840537 0.0515780378472495 96.4626684898921
"81" 0.073901357967411 0.0680693287346267 0.100473101991578 0.0222706397625699 96.4849391296547
"82" 0.0139349180367382 0.0115507437267403 0.0180997685435876 0.000722735044994355 96.4856618646997
"83" -0.021173057857125 0.124149857026097 0.125942389125431 0.0349926575521957 96.5206545222519
"84" -0.0653927267720837 0.0533224492490869 0.084377084025284 0.0157065968510402 96.5363611191029
"85" 0.0892427395145457 -0.0509177173776453 0.102746681206795 0.0232899564765381 96.5596510755795
"86" 0.00632465521320449 0.0795802246475601 0.0798311556882527 0.0140597599030963 96.5737108354826
"87" 0.0443521427868338 -0.0483571755978612 0.06561652994167 0.00949859980557782 96.5832094352881
