"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"274","2","2","154.56","(2,2)","2","2","143.09","(2,2)"
"275","1","2","172.39","(1,2)","1","2","162.83","(1,2)"
"276","2","0","175.12","(2,0)","2","1","165.61","(2,1)"
"277","2","0","160.99","(2,0)","2","2","151.92","(2,2)"
"278","2","0","152.66","(2,0)","2","0","145.01","(2,0)"
"279","2","0","165.2","(2,0)","2","0","157.55","(2,0)"
"280","1","1","152.35","(1,1)","1","1","144.7","(1,1)"
"281","0","2","152.93","(0,2)","2","2","141.77","(2,2)"
"282","2","0","152.8","(2,0)","2","0","145.15","(2,0)"
"283","2","2","154.68","(2,2)","2","2","143.21","(2,2)"
"284","1","2","166.23","(1,2)","1","2","156.67","(1,2)"
"285","1","2","155.75","(1,2)","2","2","145.6","(2,2)"
"286","1","2","143.79","(1,2)","1","2","134.23","(1,2)"
"287","2","0","162.54","(2,0)","2","0","154.89","(2,0)"
"288","2","0","146.24","(2,0)","2","0","138.59","(2,0)"
"289","2","0","175.98","(2,0)","1","2","168.18","(1,2)"
"290","2","0","157.92","(2,0)","1","2","150.18","(1,2)"
"291","2","0","171.38","(2,0)","1","2","162.97","(1,2)"
"292","2","0","162.5","(2,0)","2","0","154.85","(2,0)"
"293","1","2","140.76","(1,2)","2","2","130.69","(2,2)"
"294","2","0","151.01","(2,0)","2","0","143.36","(2,0)"
"295","2","2","174.61","(2,2)","2","2","163.14","(2,2)"
"296","2","1","146.4","(2,1)","2","1","136.84","(2,1)"
"297","2","0","137.93","(2,0)","2","2","127.48","(2,2)"
"298","2","0","151.28","(2,0)","2","0","143.63","(2,0)"
"299","1","1","154.45","(1,1)","2","1","146.51","(2,1)"
"300","2","0","162.36","(2,0)","2","0","154.71","(2,0)"
"301","2","0","164.76","(2,0)","2","0","157.12","(2,0)"
"302","2","0","164.63","(2,0)","2","0","156.98","(2,0)"
"303","2","0","146.26","(2,0)","2","0","138.61","(2,0)"
"304","2","0","147.05","(2,0)","2","2","137.07","(2,2)"
"305","2","0","165.07","(2,0)","1","2","156.24","(1,2)"
"306","2","0","144.76","(2,0)","2","0","137.11","(2,0)"
"307","1","1","154.82","(1,1)","1","1","147.17","(1,1)"
"308","2","0","166.27","(2,0)","2","0","158.63","(2,0)"
"309","1","2","164.19","(1,2)","1","2","154.63","(1,2)"
"310","2","0","145.08","(2,0)","2","0","137.43","(2,0)"
"311","2","0","135.18","(2,0)","2","0","127.53","(2,0)"
"312","2","0","157.76","(2,0)","2","0","150.12","(2,0)"
"313","2","0","147.32","(2,0)","1","2","139.15","(1,2)"
"314","2","0","169.56","(2,0)","1","2","160.89","(1,2)"
"315","2","0","166.27","(2,0)","2","0","158.62","(2,0)"
"316","2","0","146.67","(2,0)","2","1","138.56","(2,1)"
"317","2","0","155.3","(2,0)","2","0","147.65","(2,0)"
"318","2","0","161.57","(2,0)","1","2","152.18","(1,2)"
"319","2","1","156.82","(2,1)","2","1","147.26","(2,1)"
"320","1","2","157.04","(1,2)","1","2","147.48","(1,2)"
"321","1","1","145.02","(1,1)","1","1","137.38","(1,1)"
"322","2","0","162.88","(2,0)","2","0","155.23","(2,0)"
"323","1","2","177.34","(1,2)","1","2","167.78","(1,2)"
"324","2","0","144.07","(2,0)","2","0","136.42","(2,0)"
"325","1","1","156.09","(1,1)","1","1","148.44","(1,1)"
"326","2","0","159.86","(2,0)","1","2","150.74","(1,2)"
"327","2","0","151.95","(2,0)","1","2","142.79","(1,2)"
"328","2","0","157.47","(2,0)","1","2","148.92","(1,2)"
"329","2","0","161.54","(2,0)","2","0","153.89","(2,0)"
"330","1","2","159.2","(1,2)","1","2","149.64","(1,2)"
"331","2","0","150.16","(2,0)","2","0","142.51","(2,0)"
"332","1","1","159.48","(1,1)","1","1","151.83","(1,1)"
"333","2","0","169.84","(2,0)","2","0","162.19","(2,0)"
"334","2","0","169.87","(2,0)","2","0","162.22","(2,0)"
"335","1","1","156.42","(1,1)","1","1","148.77","(1,1)"
"336","1","1","162.61","(1,1)","1","2","153.19","(1,2)"
"337","2","1","167.08","(2,1)","2","2","156.93","(2,2)"
"338","2","0","146.33","(2,0)","2","0","138.68","(2,0)"
"339","2","0","154.28","(2,0)","1","2","145.17","(1,2)"
"340","2","0","151.54","(2,0)","2","0","143.89","(2,0)"
"341","2","0","179.58","(2,0)","1","2","170.94","(1,2)"
"342","1","2","174.12","(1,2)","1","2","164.56","(1,2)"
"343","1","2","157.82","(1,2)","1","2","148.26","(1,2)"
"344","2","0","168.65","(2,0)","2","0","161","(2,0)"
"345","1","0","144.8","(1,0)","1","0","139.07","(1,0)"
"346","1","2","149.14","(1,2)","1","2","139.58","(1,2)"
"347","1","1","169.96","(1,1)","1","1","162.31","(1,1)"
"348","1","2","149.72","(1,2)","1","2","140.16","(1,2)"
"349","1","1","160.65","(1,1)","1","1","153.01","(1,1)"
"350","2","0","159.03","(2,0)","2","0","151.38","(2,0)"
"351","2","0","161.38","(2,0)","2","2","152.31","(2,2)"
"352","2","0","168.47","(2,0)","1","2","159.86","(1,2)"
"353","1","1","162.39","(1,1)","1","1","154.75","(1,1)"
"354","1","1","165.44","(1,1)","1","1","157.79","(1,1)"
"355","1","2","159.22","(1,2)","1","2","149.66","(1,2)"
"356","1","2","160.93","(1,2)","1","2","151.37","(1,2)"
"357","1","2","159.2","(1,2)","1","2","149.64","(1,2)"
"358","1","1","131","(1,1)","1","1","123.35","(1,1)"
"359","2","0","157.15","(2,0)","2","1","148.99","(2,1)"
"360","2","0","147.29","(2,0)","2","0","139.65","(2,0)"
"361","2","0","181.64","(2,0)","2","0","173.99","(2,0)"
"362","2","0","153.58","(2,0)","2","1","144.9","(2,1)"
