"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"584","1","2","592.63","(1,2)","1","2","579.46","(1,2)"
"585","1","2","587.38","(1,2)","1","2","574.21","(1,2)"
"586","2","0","612.32","(2,0)","2","0","602.44","(2,0)"
"587","1","2","574.42","(1,2)","1","2","561.24","(1,2)"
"588","2","0","604.67","(2,0)","2","2","594.61","(2,2)"
"589","1","2","592.8","(1,2)","1","2","579.63","(1,2)"
"590","2","0","572.37","(2,0)","2","0","562.49","(2,0)"
"591","2","2","612.58","(2,2)","2","2","596.12","(2,2)"
"592","2","2","621.44","(2,2)","2","2","604.97","(2,2)"
"593","2","0","610.88","(2,0)","2","2","600.31","(2,2)"
"594","1","2","590.22","(1,2)","1","2","577.04","(1,2)"
"595","2","0","592.08","(2,0)","2","2","577.45","(2,2)"
"596","2","2","583.16","(2,2)","2","2","566.69","(2,2)"
"597","2","2","594.19","(2,2)","2","2","577.72","(2,2)"
"598","2","0","597.45","(2,0)","2","0","587.57","(2,0)"
"599","2","2","618.17","(2,2)","2","2","601.7","(2,2)"
"600","2","0","597.21","(2,0)","2","0","587.33","(2,0)"
"601","1","1","594.5","(1,1)","2","1","581.41","(2,1)"
"602","1","1","561.55","(1,1)","1","2","550.5","(1,2)"
"603","1","2","594.96","(1,2)","1","2","581.79","(1,2)"
"604","2","0","601.54","(2,0)","2","0","591.66","(2,0)"
"605","2","2","593.2","(2,2)","2","2","576.73","(2,2)"
"606","1","2","602.92","(1,2)","1","2","589.74","(1,2)"
"607","2","0","589.24","(2,0)","2","2","574.29","(2,2)"
"608","1","2","605.47","(1,2)","1","2","592.29","(1,2)"
"609","2","0","552.06","(2,0)","2","0","542.18","(2,0)"
"610","2","2","594.22","(2,2)","2","2","577.75","(2,2)"
"611","2","2","569.72","(2,2)","2","2","553.25","(2,2)"
"612","1","2","607.02","(1,2)","1","2","593.84","(1,2)"
"613","1","2","565.25","(1,2)","1","2","552.08","(1,2)"
"614","2","0","597.14","(2,0)","2","0","587.26","(2,0)"
"615","2","0","545.72","(2,0)","2","1","535.77","(2,1)"
"616","2","0","580.19","(2,0)","2","2","569.38","(2,2)"
"617","1","2","558.81","(1,2)","1","2","545.64","(1,2)"
"618","2","0","581.09","(2,0)","2","0","571.21","(2,0)"
"619","1","1","593.77","(1,1)","2","1","582.93","(2,1)"
"620","2","2","569.1","(2,2)","2","2","552.63","(2,2)"
"621","1","2","600.52","(1,2)","1","2","587.34","(1,2)"
"622","2","0","559.75","(2,0)","2","0","549.87","(2,0)"
"623","2","1","574.64","(2,1)","2","1","561.46","(2,1)"
"624","1","2","557.42","(1,2)","1","2","544.24","(1,2)"
"625","1","2","606.01","(1,2)","1","2","592.84","(1,2)"
"626","2","0","577.8","(2,0)","2","0","567.92","(2,0)"
