titas1_500,titas2_500,titas3_500,sigma2_500,ces_500,titas1_100,titas2_100,X.titas3_100.,titas3_100,sigma2_100,ces_100
0.680413002,0.20644425,-0.237624943,0.988497716,-0.112310643,0.74997306,0.334395888,titas3_100,-0.231817247,1.12606779,-0.055953715
0.704196203,0.228805274,-0.288184818,0.905262179,0.081924614,0.595672191,0.136725115,titas3_100,-0.366914766,0.904093758,0.147266829
0.678437047,0.15275135,-0.296182078,1.040326529,0.014306935,0.615687768,0.124655865,titas3_100,-0.306787292,0.992062056,0.062295435
0.701148041,0.175845211,-0.353241575,1.015705583,0.039490924,0.75940323,0.00539499,titas3_100,-0.496517366,1.159002648,-0.052694817
0.667396024,0.117539079,-0.380624878,1.09119002,0.07683911,0.73003477,0.224275508,titas3_100,-0.400449036,1.182364011,0.211431971
0.688935051,0.160179793,-0.315758984,1.041373984,-0.109816949,0.610863801,0.117424334,titas3_100,-0.301840525,0.764228286,-0.374319768
0.711834813,0.244635955,-0.263980813,1.056754468,-0.177614643,0.599691075,0.148421812,titas3_100,-0.261353001,1.248518354,-0.58225064
0.729735609,0.194138735,-0.282597093,1.009825479,0.099012328,0.734329109,0.275092562,titas3_100,-0.187859386,1.060990369,0.153237073
0.666832182,0.220011034,-0.262392948,0.928704606,-0.100622736,0.609906773,0.28232271,titas3_100,-0.282742853,0.912934092,0.131643338
0.748118425,0.127153107,-0.30222175,0.948929262,0.017474237,0.775293767,0.314118548,titas3_100,-0.279100622,0.939884805,0.032989894
0.690737009,0.186045525,-0.359807024,1.002260577,-0.018801004,0.629163578,-0.014686635,titas3_100,-0.456774617,0.900327502,-0.076830433
0.623927219,0.145107003,-0.34734317,0.907275511,-0.021284033,0.632979888,0.036173961,titas3_100,-0.454640054,0.842419041,-0.022531801
0.750920061,0.266241142,-0.209610773,1.012373991,-0.008987027,0.976676118,0.493432852,titas3_100,-0.142359839,1.003057883,0.01653999
0.659001952,0.125589115,-0.285590018,0.975486625,0.022447325,0.647492116,0.188965874,titas3_100,-0.240552493,0.961126015,0.006044171
0.624840781,0.144825785,-0.299335472,0.81225814,0.016949194,0.70106622,0.151435503,titas3_100,-0.2803298,0.920551105,0.054180684
0.721351334,0.215477139,-0.257023565,1.146174329,0.001851784,0.783740238,0.173147819,titas3_100,-0.339338853,1.336222436,0.003076557
0.677017875,0.181646562,-0.332198454,0.967640674,-0.093520173,0.737121601,0.164157162,titas3_100,-0.325582512,0.959235091,0.060969025
0.633824464,0.156624842,-0.362076163,0.921141979,0.083738197,0.655048948,0.116248059,titas3_100,-0.391614208,0.839550775,0.13142474
0.697958794,0.181833553,-0.291606696,0.993425976,-0.03374626,0.72780318,0.157968512,titas3_100,-0.324751321,1.158958496,0.05821531
0.78046253,0.267495068,-0.276360185,1.087319818,0.043941594,0.892516024,0.483715036,titas3_100,-0.201710433,1.07275905,-0.290012454
0.61932308,0.163845171,-0.323001522,1.026012048,0.095596285,0.582647949,0.182395626,titas3_100,-0.35186182,0.979261665,-0.037261168
0.626718812,0.130235005,-0.34413926,0.975377988,0.000782054,0.659120269,0.081272658,titas3_100,-0.311278322,1.162660422,0.265252599
0.784560092,0.256022494,-0.269601051,1.005348299,-0.020359726,0.863079493,0.233725014,titas3_100,-0.221407025,0.974074405,0.125516681
0.661342097,0.173558715,-0.337213004,0.877333804,-0.061036453,0.702600268,0.17883926,titas3_100,-0.358282963,1.205942055,-0.084196614
0.740059334,0.24322365,-0.298796246,1.104902704,0.140310547,0.790795352,0.313443014,titas3_100,-0.310573833,1.225464815,0.342496653
0.728031125,0.187671331,-0.312887472,1.132952639,0.018694356,0.639692988,0.143717294,titas3_100,-0.228132288,1.287468516,-0.3597625
0.649314975,0.136200196,-0.328498586,0.93500729,-0.072082669,0.63421609,0.056347789,titas3_100,-0.325916294,0.931349458,-0.2192953
0.809669966,0.328147775,-0.187876683,0.955019856,0.070216955,0.683070925,0.031342218,titas3_100,-0.433197466,0.995747224,0.08085008
0.707802112,0.166347209,-0.341835806,1.015509856,-0.012441861,0.537058059,-0.017975828,titas3_100,-0.468061014,0.999418791,0.167830328
0.669593377,0.103868793,-0.350454184,0.915494994,-0.067636524,0.622362109,-0.00891886,titas3_100,-0.406604112,0.888830512,-0.054327957
0.709152612,0.150568432,-0.360937092,0.936847005,0.00832558,0.808807062,0.176224314,titas3_100,-0.382044362,1.018772543,0.325456062
0.657784871,0.170287717,-0.262499003,1.048280557,0.03722444,0.604814256,0.130030456,titas3_100,-0.118774617,1.048019231,-0.124502845
0.63548167,0.160376354,-0.285036285,1.015872501,0.004351837,0.592675218,0.096396826,titas3_100,-0.28411098,0.841143189,0.253270627
0.723124011,0.272889525,-0.334955071,1.122521826,-0.193036965,0.623950361,0.119502417,titas3_100,-0.374855117,1.086937465,-0.445823659
0.772035262,0.259677774,-0.273904095,1.031119715,0.022009137,0.781623493,0.234946256,titas3_100,-0.295532536,1.083471069,0.264579913
0.758661796,0.231208766,-0.267437624,0.987803712,0.011726834,0.85129119,0.385182658,titas3_100,-0.261222209,0.948257821,0.057756635
0.742911921,0.220765306,-0.329083769,0.999936131,0.080151519,0.801842639,0.328932707,titas3_100,-0.311263728,1.105192444,0.066271763
0.663783673,0.232553156,-0.261017741,1.049140027,0.092454506,0.652730061,0.230920808,titas3_100,-0.263733772,1.07984048,-0.211766668
0.661329506,0.178660309,-0.313095137,1.022463827,0.058045603,0.728953197,0.228367633,titas3_100,-0.28177918,0.968973491,0.275212839
0.732880002,0.197818813,-0.265469077,0.945446832,0.027853136,0.764947307,0.193021237,titas3_100,-0.407153439,0.919422757,0.170334247
